05-09-2025 10:23:38.336 [background-preinit] [-] INFO  CONFIG-SERVER-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.2.Final
05-09-2025 10:23:38.377 [main] [-] INFO  CONFIG-SERVER-c.c.ConfigServerApplication.logStarting - Starting ConfigServerApplication using Java 21.0.8 with PID 17672 (D:\Personal Finance Tracker\ConfigServer\target\classes started by Satya in D:\Personal Finance Tracker\UserService)
05-09-2025 10:23:38.378 [main] [-] INFO  CONFIG-SERVER-c.c.ConfigServerApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
05-09-2025 10:23:38.955 [main] [-] INFO  CONFIG-SERVER-o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=e105e449-58d2-3685-b462-a3a75fd3e8ff
05-09-2025 10:23:39.140 [main] [-] INFO  CONFIG-SERVER-o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8086 (http)
05-09-2025 10:23:39.149 [main] [-] INFO  CONFIG-SERVER-o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8086"]
05-09-2025 10:23:39.150 [main] [-] INFO  CONFIG-SERVER-o.a.catalina.core.StandardService.log - Starting service [Tomcat]
05-09-2025 10:23:39.150 [main] [-] INFO  CONFIG-SERVER-o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.43]
05-09-2025 10:23:39.195 [main] [-] INFO  CONFIG-SERVER-o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
05-09-2025 10:23:39.195 [main] [-] INFO  CONFIG-SERVER-o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 779 ms
05-09-2025 10:23:39.647 [main] [-] INFO  CONFIG-SERVER-o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration.restTemplateDiscoveryClientOptionalArgs - Eureka HTTP Client uses RestTemplate.
05-09-2025 10:23:42.013 [main] [-] WARN  CONFIG-SERVER-o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger.afterPropertiesSet - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
05-09-2025 10:23:42.048 [main] [-] INFO  CONFIG-SERVER-o.s.c.n.eureka.InstanceInfoFactory.create - Setting initial instance status as: STARTING
05-09-2025 10:23:42.071 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.<init> - Initializing Eureka in region us-east-1
05-09-2025 10:23:42.073 [main] [-] INFO  CONFIG-SERVER-c.n.d.s.r.aws.ConfigClusterResolver.getClusterEndpoints - Resolving eureka endpoints via configuration
05-09-2025 10:23:42.078 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
05-09-2025 10:23:42.078 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
05-09-2025 10:23:42.078 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
05-09-2025 10:23:42.078 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
05-09-2025 10:23:42.079 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
05-09-2025 10:23:42.079 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: true
05-09-2025 10:23:42.079 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
05-09-2025 10:23:42.371 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
05-09-2025 10:23:42.372 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.initScheduledTasks - Starting heartbeat executor: renew interval is: 30
05-09-2025 10:23:42.373 [main] [-] INFO  CONFIG-SERVER-c.n.discovery.InstanceInfoReplicator.<init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
05-09-2025 10:23:42.375 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1757048022374 with initial instances count: 0
05-09-2025 10:23:42.377 [main] [-] INFO  CONFIG-SERVER-o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application CONFIG-SERVER with eureka with status UP
05-09-2025 10:23:42.377 [main] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1757048022377, current=UP, previous=STARTING]
05-09-2025 10:23:42.378 [DiscoveryClient-InstanceInfoReplicator-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_CONFIG-SERVER/10.150.0.155:CONFIG-SERVER:8086: registering service...
05-09-2025 10:23:42.378 [main] [-] INFO  CONFIG-SERVER-o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8086"]
05-09-2025 10:23:42.392 [main] [-] INFO  CONFIG-SERVER-o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8086 (http) with context path '/'
05-09-2025 10:23:42.392 [main] [-] INFO  CONFIG-SERVER-o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 8086
05-09-2025 10:23:42.405 [main] [-] INFO  CONFIG-SERVER-c.c.ConfigServerApplication.logStarted - Started ConfigServerApplication in 4.44 seconds (process running for 5.021)
05-09-2025 10:23:42.449 [DiscoveryClient-InstanceInfoReplicator-%d] [-] INFO  CONFIG-SERVER-c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_CONFIG-SERVER/10.150.0.155:CONFIG-SERVER:8086 - registration status: 204
05-09-2025 10:23:46.589 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
05-09-2025 10:23:46.589 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
05-09-2025 10:23:46.590 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 1 ms
05-09-2025 10:23:47.550 [http-nio-8086-exec-1] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:23:50.070 [http-nio-8086-exec-2] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
05-09-2025 10:23:53.336 [http-nio-8086-exec-4] [-] INFO  CONFIG-SERVER-o.s.c.c.s.e.NativeEnvironmentRepository.clean - Adding property source: Config resource 'file [C:\Users\Satya\AppData\Local\Temp\config-repo-15985301392715136142\application.yml]' via location 'file:/C:/Users/Satya/AppData/Local/Temp/config-repo-15985301392715136142/'
